sample	group
Auxenochlorella_protothecoides_0710	fresh_water
Auxenochlorella_protothecoides_UTEX.25	fresh_water
Bathycoccus_prasinos_RCC1105	sea_water
Botryococcus_braunii	fresh_water
Chara_braunii	outgroup
Chlorokybus_atmophyticus	outgroup
Chlorella_sp._A99	fresh_water
Chlorella_sorokiniana_DOE1412	fresh_water
Chlorella_sorokiniana_1228	fresh_water
Chlorella_sorokiniana_1230	fresh_water
Chlorella_sorokiniana_1602	fresh_water
FACHB.9	fresh_water
Chlamydomonas_reinhardtii	fresh_water
Coccomyxa_subellipsoidea_C.169	fresh_water
Cyanophora_paradoxa_CCMP329	outgroup
Dunaliella_salina	sea_water
Enallax_costatus_CCAP_276.31	fresh_water
Flechtneria_rotunda_SEV3.VF49	fresh_water
Gonium_pectorale_NIES.2863	fresh_water
Haematococcus_lacustris	fresh_water
Helicosporidium_sp._ATCC_50920	fresh_water
Klebsormidium_nitens_NIES.2285	outgroup
Mesostigma_viride_CCAC_1140	outgroup
Micromonas_commoda_NOUM17	sea_water
Micractinium_conductrix_SAG241	fresh_water
Micromonas_pusilla_CCMP1545	sea_water
Monoraphidium_neglectum_strain.SAG.48.87	fresh_water
Ostreococcus_lucimarinus	sea_water
Ostreococcus_tauri	sea_water
Picochlorum_renovo	sea_water
Picochlorum_soloecismus_DOE101	sea_water
Porphyra_umbilicalis	outgroup
Pycnococcus_provasolii	sea_water
Scenedesmus_obliquus_UTEX.393	fresh_water
Scenedesmus_sp._NREL.46B.D3	fresh_water
Synechococcus_moorigangaii	outgroup
Synechocystis_sp_PCC_6803	outgroup
Trebouxia_sp._A1.2	fresh_water
Ulva_mutabilis	sea_water
Arabidopsis_thaliana	outgroup
Chlorella_sp._NC64A	fresh_water
CP_MEM25	sea_water
Oryza_sativa	outgroup
Chloropicon_primus	sea_water
Picochlorum_SE3	sea_water
