#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CP6g6143	CP14g9420	CP6g6143	CP14g9420	0	0	0	0	0	0	0.255	0.398	0.52
CP6g6143	g7053	CP6g6143	g7053	0.078	0	0	0	0.128	0	0	0.39	0.454
CP6g6143	g7054	CP6g6143	g7054	0.075	0	0	0	0	0	0.991	0.413	0.994
CP6g6143	g10285	CP6g6143	g10285	0	0	0	0	0	0	0.934	0.268	0.948
CP6g6143	g3934	CP6g6143	g3934	0.056	0	0	0	0.075	0	0.3	0.317	0.518
CP6g6143	CP1g869	CP6g6143	CP1g869	0.053	0	0	0	0	0	0.299	0.433	0.579
CP6g6143	CP12g8782	CP6g6143	CP12g8782	0.056	0	0	0	0.102	0	0	0.389	0.423
CP6g6143	CP11g7751	CP6g6143	CP11g7751	0.056	0	0	0	0.266	0	0.3	0.394	0.658
CP6g6143	CP14g9661	CP6g6143	CP14g9661	0	0	0	0	0.439	0	0	0.341	0.607
CP6g6143	g2477	CP6g6143	g2477	0.054	0	0	0	0.275	0	0	0.288	0.461
CP6g6143	CP14g9661	CP6g6143	CP14g9661	0	0	0	0	0.439	0	0	0.341	0.607
CP6g6143	CP1g1152	CP6g6143	CP1g1152	0	0	0	0	0.098	0	0	0.569	0.574
CP6g6143	g1008	CP6g6143	g1008	0	0	0	0	0.096	0	0.422	0.146	0.512
CP6g6143	g8416	CP6g6143	g8416	0.054	0	0	0	0	0	0	0.512	0.499
CP6g6143	CP1g1189	CP6g6143	CP1g1189	0.075	0	0	0	0.096	0.171	0.934	0.245	0.958
CP6g6143	g9174	CP6g6143	g9174	0.053	0	0	0	0	0	0.299	0.328	0.506
CP6g6143	g8788	CP6g6143	g8788	0.05	0	0	0	0.096	0	0.91	0.191	0.928
CP6g6143	CP15g9863	CP6g6143	CP15g9863	0.059	0	0	0	0.106	0	0.347	0.11	0.443
