Index	Fc1_24h	Fc2_24h	Fc3_24h	Fh1_24h	Fh2_24h	Fh3_24h	MC1_24h	MC2_24h	MC3_24h	Mh1_24h	Mh2_24h	Mh3_24h
pma0043	15.29	15.75	15.72	16.26	16.28	15.86	15.26	15.31	15.47	15.66	15.58	15.21
pma0134	17.31	17.83	16.31	17.67	17.61	18.23	18.06	17.39	17.78	17.57	17.73	17.33
pma0461	25.26	24.21	25.87	25.82	25	24.7	22.37	22.15	22.26	23.56	23.44	23.42
pma0633	15.14	15.54	15.05	15.47	15.12	15.06	16.39	16.07	16.13	15.82	15.76	15.47
pma0948	17.8	18.17	17.12	18.84	18.98	19.31	20.03	20.15	20.18	19.67	19.41	20.16
pma1303	16.56	3.32	3.32	3.32	3.32	3.32	21.3	21.11	21.71	20.35	20.89	19.51
pma2172	14.1	14.6	15.04	14.48	13.95	13.73	13.33	13.36	13.33	13.5	13.55	12.82
pma2987	24.45	24.33	24.44	24.6	24.66	24.53	24.59	24.84	24.77	24.49	24.66	24.64
pma3101	16.32	16.1	15.81	15.57	3.32	15.94	16.53	16.08	16.94	18.83	19.1	17.65
pma3499	14.92	14.83	15.79	15.19	3.32	14.56	16.01	15.91	16.34	3.32	3.32	3.32
pma3606	23.61	23.88	23.7	25.43	24.75	24.45	21.66	21.45	21.47	22.77	22.08	22.29
pma3649	22.91	22.83	22.24	22.33	22.38	22.33	22.66	22.39	22.69	22.43	22.51	22.11
pma6262	14.75	15.66	3.32	15.41	15.28	15.65	16.35	16.35	16.36	15.76	15.54	15.56
pma6270	25.16	25.09	25.59	24.08	23.97	23.59	22.31	22.13	22.9	22.61	23.25	22.31
pma6460	3.32	3.32	3.32	3.32	3.32	3.32	15.29	15.36	15.25	14.14	14.12	15.13
pmb0064	17.47	17.65	17.99	15.19	15.54	15.03	13.68	3.32	3.32	14.74	15.01	14.97
pmb0069	17.31	17.96	17.5	18.4	18.26	18.14	18.79	19.02	18.62	21.13	21.06	20.51
pmb0115	16.46	16.25	16.64	13.22	16.14	15.78	14.98	14.25	14.44	17.9	18	15.97
pmb0130	16.4	17.05	17.08	16.99	16.41	16.07	15.69	15.27	15.15	17.9	17.52	16.51
pmb0142	22.33	22.84	22.22	24.4	23.87	23.25	20.64	20.85	20.64	22.63	22.36	21.85
pmb0149	16.1	16.11	16.06	15.77	15.35	14.87	3.32	3.32	13.02	3.32	3.32	3.32
pmb0159	14.48	13.93	14	16.38	16.15	15.69	18.55	18.59	18.65	20.31	20.33	18.77
pmb0160	18.05	17.94	17.77	20.03	20.16	19.8	22.39	22.4	22.46	24	24	22.55
pmb0161	19.97	19.81	19.42	22.45	22.41	22.4	21.49	21.39	21.45	23.3	23.53	21.64
pmb0163	19.29	18.74	19.13	20.45	20.34	20.57	24.41	24.48	24.44	24.5	24.4	23.78
pmb0164	22.54	22.03	23.32	19.43	18.54	18.66	21.31	21.15	21.6	21.35	21.27	21.61
pmb0165	22.17	21.91	21.8	19.96	20.15	20.06	23.3	23.35	24.11	24.34	24.53	23.56
pmb0168	3.32	3.32	3.32	3.32	3.32	3.32	16.15	16.52	16.17	15.28	15.19	14.93
pmb0197	20.33	20.73	19.42	20.35	19.33	19.49	16.19	15.86	16.15	15.45	15.43	3.32
pmb0287	14.48	14.25	15.53	13.57	13.19	13.9	16.73	17.18	17.18	3.32	3.32	14.2
pmb0292	21.04	21.78	22.15	22.59	20.25	20.92	20.23	21.61	23.79	23.22	23.21	22.65
pmb0296	17.62	17.65	17.7	19.01	18.68	18.6	22.51	22.35	22.42	22.63	22.52	21.88
pmb0302	14.66	15.14	14.24	16.79	16.97	16.48	14.89	15.24	15.52	16.57	16.71	16.46
pmb0312	16.4	16.02	15.46	15.59	3.32	3.32	16.73	16.59	17.04	15.93	15.79	16.3
pmb0374	20	20.22	19.13	20.53	20.43	20.4	18.06	17.82	17.63	18.95	18.95	18.47
pmb0382	16.12	16.65	16.4	16.5	16.68	16.69	15.03	15.19	15.51	16.6	16.5	16.49
pmb0449	18.56	18.49	17.76	18.91	18.5	18.89	20	20.06	20.12	20.35	20.41	20.13
pmb0464	23.73	23.64	22.86	27.12	26.78	26.75	23.27	22.55	23.14	26.9	27.12	26.53
pmb0468	15.5	15.43	14.88	15.12	14.9	14.75	15.11	15.04	15.09	15.23	15.71	15.02
pmb0484	23.36	23.6	22.47	22.67	23.06	23.13	21.51	21.15	21.32	22.7	22.55	22.74
pmb0492	22.16	22.38	22.42	24.8	25.05	25.63	23.1	23.22	22.88	21.71	21.68	22.86
pmb0493	15.97	15.46	16.87	3.32	3.32	14.59	15.7	16	15.41	3.32	3.32	15.11
pmb0501	20.15	20.28	19.43	19.35	19.68	19.71	19.79	19.55	20.16	17.33	17.28	17.23
