x	
1	purple
2	blue
3	salmon
4	yellow
5	blue
6	turquoise
7	greenyellow
8	yellow
9	grey
10	magenta
11	turquoise
12	grey
13	blue
14	blue
15	turquoise
16	yellow
17	black
18	brown
19	brown
20	brown
21	red
22	pink
23	pink
24	purple
25	red
26	green
27	turquoise
28	turquoise
29	red
30	black
31	grey
32	red
33	purple
34	green
35	turquoise
36	brown
37	pink
38	purple
39	grey
40	yellow
41	green
42	purple
43	magenta
44	grey
45	turquoise
46	turquoise
47	brown
48	blue
49	blue
50	turquoise
51	blue
52	brown
53	turquoise
54	turquoise
55	salmon
56	brown
57	turquoise
58	turquoise
59	blue
60	turquoise
61	turquoise
62	yellow
63	grey
64	blue
65	turquoise
66	pink
67	turquoise
68	pink
69	turquoise
70	pink
71	turquoise
72	tan
73	black
74	pink
75	turquoise
76	grey
77	turquoise
78	brown
79	brown
80	blue
81	purple
82	turquoise
83	salmon
84	turquoise
85	greenyellow
86	greenyellow
87	greenyellow
88	brown
89	tan
90	tan
91	green
92	green
93	brown
94	pink
95	yellow
96	yellow
97	green
98	grey
99	purple
100	pink
101	blue
102	tan
103	grey
104	purple
105	grey
106	blue
107	yellow
108	yellow
109	blue
110	magenta
111	brown
112	magenta
113	yellow
114	black
115	brown
116	red
117	brown
118	turquoise
119	turquoise
120	blue
121	yellow
122	brown
123	turquoise
124	green
125	turquoise
126	blue
127	blue
128	black
129	black
130	purple
131	blue
132	black
133	blue
134	red
135	yellow
136	blue
137	red
138	turquoise
139	red
140	grey
141	magenta
142	blue
143	brown
144	brown
145	tan
146	blue
147	yellow
148	salmon
149	black
150	turquoise
151	salmon
152	blue
153	yellow
154	tan
155	blue
156	blue
157	yellow
158	turquoise
159	turquoise
160	blue
161	tan
162	grey
163	brown
164	blue
165	blue
166	greenyellow
167	pink
168	pink
169	brown
170	blue
171	turquoise
172	brown
173	black
174	red
175	black
176	turquoise
177	red
178	turquoise
179	yellow
180	greenyellow
181	brown
182	turquoise
183	magenta
184	tan
185	magenta
186	brown
187	greenyellow
188	red
189	blue
190	blue
191	purple
192	blue
193	greenyellow
194	brown
195	brown
196	purple
197	blue
198	grey
199	yellow
200	red
201	red
202	brown
203	blue
204	blue
205	turquoise
206	turquoise
207	blue
208	red
209	blue
210	grey
211	greenyellow
212	brown
213	yellow
214	turquoise
215	turquoise
216	purple
217	yellow
218	brown
219	magenta
220	purple
221	brown
222	yellow
223	green
224	yellow
225	red
226	yellow
227	brown
228	red
229	grey
230	yellow
231	grey
232	grey
233	blue
234	green
235	yellow
236	black
237	pink
238	green
239	red
240	grey
241	pink
242	blue
243	grey
244	greenyellow
245	red
246	salmon
247	black
248	blue
249	green
250	turquoise
251	pink
252	turquoise
253	blue
254	magenta
255	green
256	brown
257	black
258	yellow
259	red
260	turquoise
261	turquoise
262	turquoise
263	turquoise
264	yellow
265	blue
266	blue
267	turquoise
268	yellow
269	turquoise
270	brown
271	grey
272	green
273	green
274	green
275	greenyellow
276	turquoise
277	yellow
278	tan
279	grey
280	purple
281	yellow
282	black
283	pink
284	pink
285	black
286	green
287	yellow
288	brown
289	brown
290	green
291	yellow
292	brown
293	blue
294	brown
295	magenta
296	grey
297	greenyellow
298	grey
299	black
300	blue
301	salmon
302	green
303	brown
304	grey
305	brown
306	blue
307	turquoise
308	pink
309	blue
310	yellow
311	brown
312	brown
313	black
314	magenta
315	green
316	purple
317	blue
318	grey
319	pink
320	greenyellow
321	red
322	greenyellow
323	brown
324	turquoise
325	grey
326	turquoise
327	brown
328	red
329	blue
330	pink
331	black
332	salmon
333	magenta
334	red
335	blue
336	brown
337	pink
338	brown
339	green
340	blue
341	turquoise
342	purple
343	greenyellow
344	blue
345	black
346	tan
347	magenta
348	blue
349	grey
350	magenta
351	turquoise
352	green
353	brown
354	pink
355	turquoise
356	tan
357	brown
358	purple
359	blue
360	yellow
361	purple
362	brown
363	turquoise
364	magenta
365	green
366	green
367	turquoise
368	brown
369	blue
370	black
371	turquoise
372	turquoise
373	green
374	turquoise
375	turquoise
376	yellow
377	salmon
378	blue
379	green
380	turquoise
381	brown
382	pink
383	turquoise
384	green
385	blue
386	yellow
387	grey
388	greenyellow
389	brown
390	blue
391	yellow
392	yellow
393	yellow
394	turquoise
395	green
396	brown
397	magenta
398	black
399	green
400	brown
401	turquoise
402	green
403	grey
404	turquoise
405	green
406	red
407	red
408	red
409	brown
410	red
411	black
412	turquoise
413	yellow
414	red
415	grey
416	green
417	yellow
418	blue
419	blue
420	turquoise
421	magenta
422	red
423	turquoise
424	turquoise
425	green
426	blue
427	yellow
428	salmon
429	blue
430	brown
431	turquoise
432	grey
433	greenyellow
434	purple
435	salmon
436	green
437	blue
438	brown
439	blue
440	magenta
441	brown
442	magenta
443	yellow
444	yellow
445	brown
446	brown
447	yellow
448	yellow
449	black
450	brown
451	yellow
