"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"ko05171"	NA	"81/804"	"106/3833"	2.64905028425401e-35	8.92729945793601e-33	7.94715085276203e-33	"CP11g8045/CP11g8069/CP9g7680/CP9g7673/CP1g674/CP7g6854/CP12g8713/CP5g5220/CP1g1133/CP2g2196/CP2g1557/CP3g3369/CP15g9897/CP5g4803/CP6g5847/CP6g5846/CP2g2495/CP1g768/CP9g7667/CP10g8627/CP16g10094/CP3g2885/CP5g5115/CP5g4706/CP10g8537/CP1g719/CP3g2803/CP14g9621/CP10g8598/CP5g5052/CP10g8590/CP1g737/CP10g8628/CP1g661/CP6g5897/CP3g2789/CP16g10118/CP2g2413/CP4g3784/CP8g6627/CP12g8780/CP15g9967/CP2g1572/CP7g6714/CP12g8756/CP11g7938/CP9g7638/CP10g8381/CP1g182/CP5g4826/CP14g9580/CP1g1366/CP1g896/CP3g2665/CP7g6724/CP6g6106/CP7g6723/CP12g8717/CP7g6679/CP11g7901/CP5g5254/CP8g6283/CP7g6918/CP14g9589/CP3g2920/CP2g2306/CP11g7759/CP3g2635/CP15g9880/CP1g474/CP1g1311/CP4g3947/CP9g7674/CP9g7249/CP5g5152/CP9g7527/CP10g8668/CP12g8833/CP4g4372/CP6g5682/CP3g2916"	81
"ko03010"	"Ribosome"	"87/804"	"147/3833"	6.37969926518877e-25	1.07497932618431e-22	9.56954889778316e-23	"CP11g8045/CP11g8069/CP9g7680/CP9g7673/CP1g674/CP7g6854/CP12g8713/CP5g5220/CP1g1133/CP2g1557/CP3g3369/CP15g9897/CP5g4803/CP6g5847/CP6g5846/CP2g2495/CP1g768/CP9g7667/CP10g8627/CP16g10094/CP3g2885/CP5g5115/CP5g4706/CP10g8537/CP1g719/CP3g2803/CP14g9621/CP10g8598/CP5g5052/CP10g8590/CP1g737/CP10g8628/CP1g661/CP6g5897/CP3g2789/CP16g10118/CP2g2413/CP4g3784/CP15g9881/CP8g6627/CP12g8780/CP15g9967/CP2g1572/CP7g6714/CP12g8756/CP11g7938/CP9g7638/CP10g8381/CP1g182/CP5g4826/CP14g9580/CP1g1366/CP1g896/CP3g2665/CP7g6724/CP6g6106/CP7g6723/CP12g8717/CP7g6679/CP11g7901/CP5g5254/CP8g6283/CP7g6918/CP14g9589/CP3g2920/CP1g1103/CP2g2306/CP5g4677/CP11g7759/CP3g2635/CP15g9880/CP3g3125/CP3g3217/CP1g474/CP1g1311/CP4g3947/CP9g7674/CP9g7249/CP5g5152/CP9g7527/CP10g8668/CP12g8833/CP7g6847/CP4g4372/CP2g2089/CP6g5682/CP1g976"	87
"ko00190"	"Oxidative phosphorylation"	"48/804"	"71/3833"	1.56131253309596e-17	1.75387441217779e-15	1.56131253309596e-15	"CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2962/CP2g1763/CP6g6064/CP7g6993/CP14g9590/CP5g4722/CP2g1543/CP4g4150/CP1g1296/CP14g9429/CP12g8813/CP10g8434/CP10g8506/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP14g9388/CP3g2973/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP8g6247/CP2g2291/CP5g5064/CP2g2213/CP1g271/CP2g1756/CP1g1530/CP8g6196/CP7g6694/CP13g9014/CP14g9384/CP6g5754/CP2g2431/CP11g8066/CP14g9653/CP8g6154/CP1g1299/CP8g6363/CP5g4745/CP2g2386/CP12g8794"	48
"ko04932"	NA	"38/804"	"57/3833"	8.22278982910907e-14	6.92770043102439e-12	6.1670923718318e-12	"CP1g1318/CP2g1876/CP3g2767/CP4g4392/CP1g819/CP1g698/CP6g6064/CP7g6993/CP7g7212/CP13g8998/CP14g9590/CP5g4722/CP2g1806/CP14g9429/CP6g5851/CP9g7545/CP1g442/CP11g7917/CP3g3239/CP5g4620/CP7g7126/CP2g1838/CP2g1798/CP5g4955/CP8g6247/CP2g2291/CP1g271/CP1g1530/CP8g6196/CP7g6694/CP13g9014/CP14g9384/CP2g2468/CP14g9653/CP1g1299/CP8g6363/CP2g2386/CP2g2469"	38
"ko00195"	"Photosynthesis"	"30/804"	"49/3833"	8.48987261311609e-10	5.72217414124024e-08	5.09392356786965e-08	"CP2g1763/CP2g2068/CP1g816/CP4g3985/CP10g8434/CP5g5018/CP2g2381/CP1g1159/CP6g5755/CP2g2213/CP9g7271/CP4g4465/CP4g3615/CP2g1683/CP5g4553/CP1g909/CP10g8423/CP8g6430/CP10g8277/CP1g1139/CP3g3050/CP15g9783/CP1g1319/CP9g7621/CP4g4184/CP3g3449/CP6g5689/CP6g5489/CP4g4200/CP6g5672"	30
"ko04714"	"Thermogenesis"	"51/804"	"116/3833"	1.28185428199825e-08	7.19974821722349e-07	6.40927140999123e-07	"CP2g1876/CP3g2767/CP4g4392/CP1g819/CP1g698/CP3g2962/CP2g2223/CP6g6064/CP7g6993/CP10g8411/CP13g8998/CP14g9590/CP5g4722/CP11g7938/CP4g4150/CP1g1296/CP2g1806/CP14g9429/CP5g4572/CP10g8506/CP6g5851/CP8g6286/CP2g1801/CP13g9299/CP1g442/CP11g7917/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP5g4955/CP8g6247/CP10g8291/CP2g2291/CP1g271/CP1g1530/CP8g6196/CP7g6694/CP13g9014/CP14g9384/CP3g2881/CP2g2431/CP14g9653/CP1g1277/CP3g3414/CP8g6154/CP1g1299/CP8g6363/CP1g838/CP5g4745/CP2g2386"	51
"ko05020"	NA	"52/804"	"132/3833"	6.99962715560973e-07	3.02974972528879e-05	2.69710658037577e-05	"CP1g1318/CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2962/CP6g6064/CP10g8501/CP7g6993/CP10g8411/CP7g7212/CP1g207/CP7g6795/CP14g9590/CP11g7808/CP5g4722/CP5g4887/CP1g1296/CP14g9429/CP10g8506/CP6g5851/CP8g6286/CP2g1801/CP13g9299/CP1g442/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP3g3108/CP2g2282/CP8g6247/CP4g3864/CP2g2291/CP1g271/CP1g1530/CP8g6196/CP7g6694/CP9g7626/CP13g9014/CP4g4118/CP14g9384/CP2g1837/CP14g9653/CP1g1299/CP4g4129/CP8g6363/CP9g7576/CP14g9339/CP2g1784/CP2g2386/CP6g5912"	52
"ko05012"	NA	"54/804"	"139/3833"	7.1922842143354e-07	3.02974972528879e-05	2.69710658037577e-05	"CP1g1318/CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2653/CP3g2962/CP6g6064/CP3g2885/CP1g719/CP7g6993/CP1g207/CP7g6795/CP14g9590/CP6g6147/CP5g4722/CP5g4887/CP1g1296/CP14g9429/CP10g8506/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP4g4525/CP2g2282/CP8g6247/CP4g3864/CP2g2291/CP1g271/CP10g8367/CP1g1530/CP8g6196/CP3g3066/CP7g6694/CP13g9014/CP10g8361/CP4g4118/CP14g9384/CP2g1837/CP15g9963/CP14g9653/CP1g1299/CP4g4129/CP8g6363/CP12g8691/CP3g2643/CP2g2386/CP6g5912/CP7g6895"	54
"ko05415"	NA	"43/804"	"105/3833"	1.96951259308101e-06	7.37473048742555e-05	6.56504197693669e-05	"CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2962/CP6g6064/CP7g6993/CP7g7212/CP5g4661/CP7g6795/CP14g9590/CP5g4722/CP1g1296/CP14g9537/CP14g9429/CP9g7683/CP10g8506/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP14g9591/CP5g4996/CP8g6247/CP2g2291/CP1g271/CP1g1530/CP8g6196/CP7g6694/CP13g9014/CP14g9384/CP10g8566/CP14g9653/CP1g1299/CP8g6363/CP4g3786/CP2g2386/CP6g5912/CP1g237"	43
"ko05010"	NA	"51/804"	"137/3833"	6.4250498366963e-06	0.000216524179496665	0.000192751495100889	"CP1g1318/CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2962/CP3g3067/CP6g6064/CP10g8501/CP7g6993/CP7g7212/CP1g207/CP7g6795/CP14g9590/CP5g4722/CP5g4887/CP1g1296/CP14g9429/CP10g8506/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP2g2361/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP3g3108/CP2g2282/CP5g4996/CP8g6247/CP4g3864/CP2g2291/CP1g271/CP10g8435/CP10g8367/CP1g1530/CP8g6196/CP7g6694/CP13g9014/CP14g9384/CP2g1837/CP14g9653/CP1g1299/CP4g4129/CP8g6363/CP14g9339/CP2g2386/CP6g5912/CP1g237"	51
