"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"ko03010"	"Ribosome"	"109/927"	"147/3833"	7.85404042890337e-39	2.70964394797166e-36	2.53809517018246e-36	"CP11g8045/CP11g8069/CP9g7680/CP9g7673/CP1g674/CP7g6854/CP12g8713/CP5g5220/CP1g1133/CP2g1557/CP3g3369/CP15g9897/CP5g4803/CP6g5847/CP6g5846/CP2g2495/CP1g768/CP9g7667/CP10g8627/CP16g10094/CP3g2885/CP5g5115/CP5g4706/CP10g8537/CP1g719/CP3g2803/CP14g9621/CP10g8598/CP5g5052/CP10g8590/CP1g737/CP10g8628/CP1g661/CP6g5897/CP3g2789/CP16g10118/CP2g2413/CP4g3784/CP15g9881/CP8g6627/CP12g8780/CP15g9967/CP2g1572/CP4g4389/CP7g6714/CP12g8756/CP11g7938/CP9g7638/CP10g8381/CP1g182/CP5g4826/CP14g9580/CP1g1366/CP1g896/CP3g2665/CP4g3613/CP7g6724/CP6g6106/CP7g6723/CP7g6679/CP11g7901/CP5g5254/CP8g6283/CP6g5434/CP7g6918/CP14g9589/CP8g6241/CP3g2920/CP1g1103/CP11g7912/CP2g2306/CP5g4677/CP11g7759/CP8g6475/CP3g2635/CP11g8043/CP15g9880/CP3g3125/CP16g10115/CP3g3217/CP15g9964/CP1g474/CP10g8479/CP1g1311/CP5g5344/CP4g3947/CP13g9234/CP9g7674/CP1g978/CP9g7249/CP2g2509/CP5g5152/CP9g7527/CP6g5714/CP10g8668/CP12g8833/CP1g794/CP2g2541/CP7g6847/CP4g4372/CP7g7223/CP3g3313/CP2g2089/CP6g5985/CP6g5682/CP8g6577/CP1g976/CP2g2150/CP5g5339"	109
"ko05171"	NA	"80/927"	"106/3833"	1.826899613487e-29	3.15140183326507e-27	2.95188516495004e-27	"CP11g8045/CP11g8069/CP9g7680/CP9g7673/CP1g674/CP7g6854/CP12g8713/CP5g5220/CP1g1133/CP2g1557/CP3g3369/CP15g9897/CP5g4803/CP6g5847/CP6g5846/CP2g2495/CP1g768/CP9g7667/CP10g8627/CP16g10094/CP3g2885/CP5g5115/CP5g4706/CP10g8537/CP1g719/CP3g2803/CP14g9621/CP10g8598/CP5g5052/CP10g8590/CP1g737/CP10g8628/CP1g661/CP6g5897/CP3g2789/CP16g10118/CP2g2413/CP4g3784/CP8g6627/CP12g8780/CP15g9967/CP2g1572/CP7g6714/CP12g8756/CP11g7938/CP9g7638/CP10g8381/CP1g182/CP5g4826/CP14g9580/CP1g1366/CP1g896/CP3g2665/CP7g6724/CP6g6106/CP7g6723/CP7g6679/CP11g7901/CP5g5254/CP8g6283/CP7g6918/CP14g9589/CP3g2920/CP2g2306/CP11g7759/CP3g2635/CP15g9880/CP1g474/CP1g1311/CP4g3947/CP9g7674/CP9g7249/CP5g5152/CP9g7527/CP10g8668/CP12g8833/CP1g794/CP4g4372/CP6g5682/CP3g2916"	80
"ko05012"	NA	"70/927"	"139/3833"	9.05600945885266e-12	1.04144108776806e-09	9.75506983813252e-10	"CP1g1318/CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2962/CP6g6064/CP3g2885/CP1g719/CP7g6993/CP1g207/CP7g6795/CP14g9590/CP7g6797/CP2g2387/CP5g4974/CP6g6147/CP5g4722/CP5g4887/CP1g970/CP1g1296/CP14g9429/CP10g8506/CP7g6835/CP3g3154/CP10g8242/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP11g8124/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP5g5305/CP6g6142/CP2g2282/CP8g6247/CP4g3864/CP2g2291/CP8g6179/CP1g271/CP16g10111/CP10g8367/CP1g1530/CP7g7196/CP3g3066/CP6g5613/CP7g6694/CP1g668/CP10g8361/CP5g4961/CP2g1837/CP15g9963/CP5g5311/CP7g7139/CP2g2016/CP7g7049/CP4g4129/CP2g2507/CP8g6363/CP1g941/CP11g7790/CP12g8691/CP5g5147/CP4g4065/CP6g6138/CP6g5912/CP2g2226"	70
"ko05020"	NA	"64/927"	"132/3833"	5.82485287661918e-10	5.02393560608404e-08	4.70586798190023e-08	"CP1g1318/CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2962/CP6g6064/CP10g8501/CP7g6993/CP10g8411/CP7g7212/CP1g207/CP7g6795/CP14g9590/CP7g6797/CP2g2387/CP11g7808/CP5g4974/CP5g4722/CP5g4887/CP1g970/CP1g1296/CP14g9429/CP10g8506/CP7g6835/CP6g5851/CP8g6286/CP2g1801/CP13g9299/CP1g442/CP11g8124/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP5g5305/CP2g2282/CP8g6247/CP4g3864/CP2g2291/CP1g271/CP16g10111/CP1g1530/CP7g7196/CP6g5613/CP7g6694/CP9g7626/CP1g668/CP5g4961/CP2g1837/CP5g5311/CP7g7139/CP2g2016/CP7g7049/CP4g4129/CP2g2507/CP8g6363/CP9g7576/CP1g66/CP5g5147/CP2g1784/CP4g4065/CP6g6138/CP6g5912"	64
"ko05010"	NA	"65/927"	"137/3833"	1.3386019326006e-09	9.23635333494417e-08	8.65159564859759e-08	"CP1g1318/CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2962/CP3g3067/CP6g6064/CP10g8501/CP7g6993/CP7g7212/CP1g207/CP7g6795/CP14g9590/CP7g6797/CP2g2387/CP5g4974/CP5g4722/CP5g4887/CP1g970/CP1g1296/CP5g5395/CP14g9429/CP10g8506/CP7g6835/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP2g2361/CP11g8124/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP5g5305/CP2g2282/CP5g4996/CP8g6247/CP4g3864/CP2g2291/CP1g271/CP10g8435/CP16g10111/CP10g8367/CP1g1530/CP1g259/CP7g7196/CP6g5613/CP7g6694/CP1g668/CP3g2945/CP5g4961/CP2g1837/CP5g5311/CP7g7139/CP2g2016/CP7g7049/CP4g4129/CP2g2507/CP8g6363/CP5g5147/CP4g4065/CP6g6138/CP6g5912"	65
"ko05022"	NA	"77/927"	"182/3833"	2.60399126438064e-08	1.49729497701887e-06	1.40250055818396e-06	"CP1g1318/CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2962/CP3g3067/CP6g6064/CP3g2885/CP10g8501/CP1g719/CP7g6993/CP7g7212/CP1g207/CP7g6795/CP14g9590/CP7g6797/CP2g2387/CP5g4974/CP5g4722/CP5g4887/CP1g970/CP1g1296/CP5g5395/CP14g9429/CP10g8506/CP7g6835/CP3g3154/CP10g8242/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP2g2361/CP11g8124/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP5g5305/CP4g3785/CP2g2282/CP6g5547/CP8g6247/CP4g3864/CP2g2291/CP8g6179/CP4g4192/CP1g271/CP10g8435/CP16g10111/CP10g8367/CP12g8699/CP1g1530/CP7g7196/CP6g5613/CP7g6694/CP3g3101/CP1g668/CP3g2945/CP5g4961/CP2g1837/CP5g5311/CP7g7139/CP2g2016/CP7g7049/CP4g4129/CP2g2507/CP8g6363/CP11g7790/CP5g5147/CP4g4065/CP6g6138/CP6g5912/CP2g2226/CP3g3472/CP2g1989"	77
"ko00190"	"Oxidative phosphorylation"	"38/927"	"71/3833"	7.55328548075789e-08	3.72269070123068e-06	3.48700547758297e-06	"CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2962/CP2g1763/CP6g6064/CP7g6993/CP14g9590/CP5g4722/CP2g1543/CP4g4150/CP1g1296/CP14g9429/CP12g8813/CP10g8434/CP10g8506/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP14g9388/CP3g2973/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP8g6247/CP2g2291/CP2g2213/CP8g6459/CP1g271/CP2g1756/CP1g1530/CP7g6694/CP6g5754/CP8g6363/CP12g8792"	38
"ko00195"	"Photosynthesis"	"29/927"	"49/3833"	1.51731260904005e-07	6.5434106264852e-06	6.12914435493808e-06	"CP2g1763/CP2g2068/CP1g816/CP4g3985/CP10g8434/CP4g3645/CP1g172/CP9g7268/CP2g2381/CP6g5755/CP2g2213/CP9g7271/CP4g4465/CP4g3615/CP2g1683/CP5g4553/CP1g909/CP10g8423/CP8g6430/CP1g1139/CP3g3050/CP15g9783/CP9g7621/CP4g4184/CP3g3449/CP6g5689/CP4g4200/CP12g8932/CP2g1548"	29
"ko05016"	NA	"66/927"	"157/3833"	3.63499433510383e-07	1.39341449512313e-05	1.30519679634722e-05	"CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2962/CP6g6064/CP7g6993/CP1g207/CP7g6795/CP1g1273/CP14g9590/CP7g6797/CP2g2387/CP5g4974/CP5g4722/CP5g4887/CP1g970/CP1g1296/CP14g9429/CP1g627/CP10g8506/CP7g6835/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP2g2361/CP11g8124/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP5g5305/CP2g2282/CP4g4097/CP8g6247/CP4g3864/CP2g2291/CP5g5123/CP1g1297/CP1g271/CP10g8435/CP16g10111/CP12g8699/CP1g1530/CP7g7196/CP6g5613/CP7g6694/CP1g1057/CP1g668/CP3g2945/CP5g4961/CP2g1837/CP3g3234/CP5g5311/CP7g7139/CP2g2016/CP7g7049/CP4g4129/CP2g2507/CP8g6363/CP5g5147/CP4g4065/CP6g6138/CP6g5912/CP2g1989"	66
"ko04932"	NA	"30/927"	"57/3833"	2.90759809099672e-06	0.000100312134139387	9.39613277827363e-05	"CP1g1318/CP2g1876/CP3g2767/CP4g4392/CP1g819/CP1g698/CP6g6064/CP7g6993/CP7g7212/CP14g9590/CP7g6797/CP5g4722/CP2g1806/CP14g9429/CP6g5851/CP1g442/CP3g3239/CP5g4620/CP7g7126/CP2g1838/CP2g1798/CP5g4955/CP8g6247/CP2g2291/CP1g271/CP1g1530/CP7g6694/CP15g9862/CP8g6363/CP3g3437"	30
