"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"ko03010"	"Ribosome"	"109/759"	"147/3833"	4.81309072604848e-48	1.5690675766918e-45	1.49459133072032e-45	"CP11g8045/CP11g8069/CP9g7680/CP9g7673/CP1g674/CP7g6854/CP12g8713/CP5g5220/CP1g1133/CP2g1557/CP3g3369/CP15g9897/CP5g4803/CP6g5847/CP6g5846/CP2g2495/CP1g768/CP9g7667/CP10g8627/CP16g10094/CP3g2885/CP5g5115/CP5g4706/CP10g8537/CP1g719/CP3g2803/CP14g9621/CP10g8598/CP5g5052/CP10g8590/CP1g737/CP10g8628/CP1g661/CP6g5897/CP3g2789/CP16g10118/CP2g2413/CP4g3784/CP15g9881/CP8g6627/CP12g8780/CP15g9967/CP2g1572/CP4g4389/CP7g6714/CP12g8756/CP11g7938/CP1g999/CP9g7638/CP10g8381/CP1g182/CP5g4826/CP14g9580/CP1g1366/CP1g896/CP3g2665/CP7g6724/CP6g6106/CP7g6723/CP12g8717/CP7g6679/CP11g7901/CP5g5254/CP11g7777/CP8g6283/CP6g5434/CP7g6918/CP14g9589/CP8g6241/CP3g2920/CP1g1103/CP11g7912/CP2g2306/CP5g4677/CP11g7759/CP8g6475/CP3g2635/CP11g8043/CP15g9880/CP3g3125/CP16g10115/CP3g3217/CP1g474/CP10g8479/CP1g1311/CP5g5344/CP4g3947/CP13g9234/CP9g7674/CP1g978/CP9g7249/CP2g2509/CP5g5152/CP9g7527/CP6g5714/CP10g8668/CP12g8833/CP2g2541/CP7g6847/CP4g4372/CP7g7223/CP3g3313/CP2g2089/CP6g5985/CP6g5682/CP7g6677/CP1g976/CP2g2150/CP3g2713"	109
"ko05171"	NA	"81/759"	"106/3833"	2.77715602540494e-37	4.52676432141005e-35	4.31190014470767e-35	"CP11g8045/CP11g8069/CP9g7680/CP9g7673/CP1g674/CP7g6854/CP12g8713/CP5g5220/CP1g1133/CP2g1557/CP3g3369/CP15g9897/CP5g4803/CP6g5847/CP6g5846/CP2g2495/CP1g768/CP9g7667/CP10g8627/CP16g10094/CP3g2885/CP5g5115/CP5g4706/CP10g8537/CP1g719/CP3g2803/CP14g9621/CP10g8598/CP5g5052/CP10g8590/CP1g737/CP10g8628/CP1g661/CP6g5897/CP3g2789/CP16g10118/CP2g2413/CP4g3784/CP8g6627/CP12g8780/CP15g9967/CP2g1572/CP7g6714/CP12g8756/CP11g7938/CP9g7638/CP10g8381/CP1g182/CP5g4826/CP14g9580/CP1g1366/CP1g896/CP3g2665/CP7g6724/CP6g6106/CP7g6723/CP12g8717/CP7g6679/CP11g7901/CP5g5254/CP8g6283/CP7g6918/CP14g9589/CP3g2920/CP2g2306/CP11g7759/CP3g2635/CP15g9880/CP1g474/CP1g1311/CP4g3947/CP9g7674/CP9g7249/CP5g5152/CP9g7527/CP10g8668/CP12g8833/CP4g4372/CP6g5682/CP3g2916/CP3g2713"	81
"ko00195"	"Photosynthesis"	"29/759"	"49/3833"	1.21591132165495e-09	1.32129030286505e-07	1.25857487680074e-07	"CP2g1763/CP2g2068/CP1g816/CP4g3985/CP10g8434/CP1g172/CP9g7268/CP2g2381/CP1g1159/CP6g5755/CP2g2213/CP9g7271/CP4g4465/CP4g3615/CP2g1683/CP5g4553/CP1g909/CP10g8423/CP8g6430/CP10g8277/CP1g1139/CP3g3050/CP15g9783/CP1g1319/CP9g7621/CP4g4184/CP3g3449/CP6g5689/CP4g4200"	29
"ko00196"	"Photosynthesis - antenna proteins"	"14/759"	"19/3833"	5.51588137322486e-07	4.49544331917826e-05	4.28206580289825e-05	"CP14g9681/CP4g3650/CP1g1405/CP9g7232/CP12g8969/CP5g4977/CP5g4731/CP1g1331/CP1g1404/CP5g4976/CP10g8481/CP4g3649/CP14g9683/CP14g9682"	14
"ko00190"	"Oxidative phosphorylation"	"31/759"	"71/3833"	3.31906765732839e-06	0.000216403211257811	0.000206131570297237	"CP2g1876/CP4g4392/CP1g698/CP3g2962/CP2g1763/CP6g6064/CP14g9590/CP5g4722/CP2g1543/CP1g1296/CP14g9429/CP10g8434/CP10g8506/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP14g9388/CP3g2973/CP3g3239/CP5g4620/CP2g1798/CP8g6247/CP2g2291/CP2g2213/CP4g4421/CP2g1756/CP1g1530/CP7g6694/CP8g6363/CP12g8792"	31
"ko04932"	NA	"25/759"	"57/3833"	2.71535893955986e-05	0.00147534502382752	0.00140531734591256	"CP1g1318/CP2g1876/CP4g4392/CP1g698/CP6g6064/CP13g8998/CP14g9590/CP5g4722/CP2g1806/CP14g9429/CP6g5851/CP1g442/CP3g3239/CP5g4620/CP7g7126/CP2g1798/CP5g4955/CP8g6247/CP2g2291/CP1g1530/CP7g6694/CP15g9862/CP2g2468/CP8g6363/CP2g2469"	25
"ko04712"	"Circadian rhythm - plant"	"12/759"	"19/3833"	4.26146860224285e-05	0.00198462680618738	0.0018904259212957	"CP1g771/CP10g8501/CP8g6250/CP3g3135/CP1g584/CP12g8917/CP6g5440/CP1g1440/CP6g5840/CP10g8618/CP3g2705/CP5g4907"	12
"ko05134"	NA	"13/759"	"24/3833"	0.000185254442874648	0.00754911854714191	0.007190797453687	"CP6g5813/CP9g7462/CP6g5812/CP11g7887/CP3g3018/CP4g4192/CP1g800/CP3g3101/CP9g7626/CP1g1040/CP10g8498/CP9g7576/CP2g1784"	13
"ko05012"	NA	"45/759"	"139/3833"	0.000245860518812451	0.00890561434809546	0.00848290678943546	"CP1g1318/CP2g1876/CP4g4392/CP1g698/CP3g2653/CP3g2962/CP6g6064/CP3g2885/CP1g719/CP1g207/CP7g6795/CP14g9590/CP6g6147/CP5g4722/CP5g4887/CP1g1296/CP14g9429/CP10g8506/CP3g3154/CP10g8242/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP3g3239/CP5g4620/CP2g1798/CP6g6142/CP8g6247/CP4g3864/CP2g2291/CP10g8367/CP1g1530/CP3g3066/CP6g5613/CP7g6694/CP10g8361/CP5g4961/CP6g5913/CP8g6363/CP12g8691/CP3g2643/CP6g6138/CP6g5912/CP2g2226"	45
"ko04212"	"Longevity regulating pathway - worm"	"19/759"	"45/3833"	0.000455406260596121	0.0148462440954335	0.0141415628290374	"CP3g3031/CP2g2371/CP4g4323/CP12g8789/CP11g7887/CP12g8987/CP1g627/CP16g10088/CP4g3785/CP6g5547/CP8g6394/CP8g6374/CP1g1297/CP5g4696/CP1g1040/CP9g7351/CP10g8498/CP11g7755/CP3g3472"	19
"ko00630"	"Glyoxylate and dicarboxylate metabolism"	"21/759"	"53/3833"	0.000649146647112188	0.019238346087143	0.0183251924304398	"CP3g2758/CP14g9606/CP3g3282/CP7g6693/CP3g3555/CP14g9476/CP3g2747/CP6g5547/CP8g6223/CP3g2924/CP12g8783/CP3g3106/CP10g8508/CP3g2762/CP1g1152/CP10g8482/CP1g782/CP14g9675/CP4g4413/CP5g5149/CP3g3472"	21
"ko04217"	"Necroptosis"	"13/759"	"29/3833"	0.00188167144760376	0.0511187409932356	0.0486923751792202	"CP1g1140/CP7g6795/CP13g9122/CP5g5214/CP7g6693/CP3g2584/CP5g5005/CP2g2085/CP4g3712/CP11g8039/CP6g5913/CP3g3106/CP6g5912"	13
"ko04016"	"MAPK signaling pathway - plant"	"31/759"	"97/3833"	0.00279152069038882	0.0700027496205197	0.066680048879733	"CP7g7020/CP6g5432/CP3g3222/CP8g6178/CP1g478/CP8g6445/CP1g378/CP6g5547/CP1g943/CP5g4626/CP10g8367/CP3g2753/CP5g5388/CP9g7316/CP11g8104/CP2g1603/CP1g914/CP1g932/CP13g9282/CP5g5229/CP3g3224/CP5g5367/CP3g3480/CP1g916/CP3g3472/CP5g5100/CP8g6412/CP3g3479/CP7g6791/CP4g3768/CP13g9095"	31
