ko	gene
ko00982	CP6g5513
ko00625	CP6g5513
ko00620	CP6g5513
ko00830	CP6g5513
ko00010	CP6g5513
ko00350	CP6g5513
ko00071	CP6g5513
ko00980	CP6g5513
ko00626	CP6g5513
ko00930	CP1g143
ko00053	CP1g143
ko00620	CP1g143
ko00010	CP1g143
ko00040	CP1g143
ko00561	CP1g143
ko00930	CP2g1667
ko00053	CP2g1667
ko00620	CP2g1667
ko00010	CP2g1667
ko00040	CP2g1667
ko00561	CP2g1667
ko00930	CP3g2955
ko00053	CP3g2955
ko00620	CP3g2955
ko00010	CP3g2955
ko00040	CP3g2955
ko00561	CP3g2955
ko00930	CP14g9695
ko00053	CP14g9695
ko00620	CP14g9695
ko00010	CP14g9695
ko00040	CP14g9695
ko00561	CP14g9695
ko00930	CP9g7414
ko00053	CP9g7414
ko00620	CP9g7414
ko00010	CP9g7414
ko00040	CP9g7414
ko00561	CP9g7414
ko04011	CP10g8513
ko00564	CP10g8513
ko00051	CP1g129
ko00040	CP1g129
ko00051	CP2g1554
ko00040	CP2g1554
ko00521	CP2g1662
ko00562	CP2g1662
ko00521	CP3g2897
ko00562	CP3g2897
ko00541	CP5g5391
ko00520	CP5g5391
ko00040	CP5g5391
ko00053	CP5g5391
ko00340	CP4g3970
ko00280	CP1g1107
ko00620	CP1g1061
ko00270	CP1g1061
ko00630	CP1g1061
ko00710	CP1g1061
ko04964	CP1g1061
ko00020	CP1g1061
ko00620	CP14g9675
ko00270	CP14g9675
ko00630	CP14g9675
ko00710	CP14g9675
ko04964	CP14g9675
ko00020	CP14g9675
ko00710	CP10g8482
ko00270	CP10g8482
ko00630	CP10g8482
ko00620	CP10g8482
ko00020	CP10g8482
ko00710	CP14g9476
ko00270	CP14g9476
ko00630	CP14g9476
ko00620	CP14g9476
ko00020	CP14g9476
ko00710	CP3g3382
ko00270	CP3g3382
ko00630	CP3g3382
ko00620	CP3g3382
ko00020	CP3g3382
ko00710	CP3g2758
ko00270	CP3g2758
ko00630	CP3g2758
ko00620	CP3g2758
ko00020	CP3g2758
ko00620	CP13g9045
ko00710	CP13g9045
ko00710	CP9g7605
ko00620	CP9g7605
ko03320	CP9g7605
ko00710	CP1g1349
ko00620	CP1g1349
ko03320	CP1g1349
ko00710	CP3g3107
ko00620	CP3g3107
ko03320	CP3g3107
ko00020	CP7g6796
ko00020	CP4g4188
ko00720	CP10g8412
ko00480	CP10g8412
ko04146	CP10g8412
ko05230	CP10g8412
ko00020	CP10g8412
ko00720	CP1g81
ko00480	CP1g81
ko04146	CP1g81
ko05230	CP1g81
ko00020	CP1g81
ko00480	CP13g9066
ko00030	CP13g9066
ko00030	CP5g4875
ko05415	CP5g4875
ko05230	CP5g4875
ko00480	CP5g4875
ko00030	CP14g9591
ko05415	CP14g9591
ko05230	CP14g9591
ko00480	CP14g9591
ko00620	CP3g2773
ko00710	CP3g2773
ko00660	CP9g7285
ko00290	CP9g7285
ko00290	CP2g2448
ko00770	CP2g2448
ko00290	CP8g6597
ko00770	CP8g6597
ko00260	CP3g3558
ko00270	CP3g3558
ko00680	CP3g3558
ko00260	CP13g9128
ko00270	CP13g9128
ko00680	CP13g9128
ko00780	CP4g4139
ko00061	CP4g4139
ko00333	CP4g4139
ko00780	CP8g6483
ko00061	CP8g6483
ko00333	CP8g6483
ko00780	CP1g17
ko00061	CP1g17
ko00333	CP1g17
ko00780	CP15g9913
ko00061	CP15g9913
ko00333	CP15g9913
ko00780	CP5g5224
ko00061	CP5g5224
ko00333	CP5g5224
ko00780	CP6g5850
ko00061	CP6g5850
ko00333	CP6g5850
ko00260	CP7g6832
ko05202	CP1g1008
ko00360	CP6g5610
ko00362	CP6g5610
ko00650	CP6g5610
ko00360	CP2g1865
ko00362	CP2g1865
ko00650	CP2g1865
ko05204	CP8g6457
ko00980	CP8g6457
ko00790	CP8g6457
ko00590	CP8g6457
ko00230	CP6g5636
ko00983	CP6g5636
ko00900	CP14g9405
ko00620	CP12g8779
ko00053	CP1g307
ko00983	CP3g3450
ko00230	CP3g3450
ko00232	CP3g3450
ko04146	CP3g3450
ko00650	CP1g368
ko00650	CP8g6372
ko00564	CP6g6066
ko00010	CP3g2759
ko00071	CP3g2759
ko00980	CP3g2759
ko00620	CP3g2759
ko05204	CP3g2759
ko00626	CP3g2759
ko00625	CP3g2759
ko00830	CP3g2759
ko00680	CP3g2759
ko00350	CP3g2759
ko00982	CP3g2759
ko00280	CP1g1205
ko00310	CP1g1205
ko00625	CP1g1205
ko00340	CP1g1205
ko00010	CP1g1205
ko00903	CP1g1205
ko00330	CP1g1205
ko00770	CP1g1205
ko00380	CP1g1205
ko00053	CP1g1205
ko00071	CP1g1205
ko00981	CP1g1205
ko00410	CP1g1205
ko00620	CP1g1205
ko00561	CP1g1205
ko00280	CP14g9609
ko00310	CP14g9609
ko00625	CP14g9609
ko00340	CP14g9609
ko00010	CP14g9609
ko00903	CP14g9609
ko00330	CP14g9609
ko00770	CP14g9609
ko00380	CP14g9609
ko00053	CP14g9609
ko00071	CP14g9609
ko00981	CP14g9609
ko00410	CP14g9609
ko00620	CP14g9609
ko00561	CP14g9609
ko00280	CP13g9099
ko00310	CP13g9099
ko00625	CP13g9099
ko00340	CP13g9099
ko00010	CP13g9099
ko00903	CP13g9099
ko00330	CP13g9099
ko00770	CP13g9099
ko00380	CP13g9099
ko00053	CP13g9099
ko00071	CP13g9099
ko00981	CP13g9099
ko00410	CP13g9099
ko00620	CP13g9099
ko00561	CP13g9099
ko00260	CP7g6974
ko00260	CP13g9071
ko00030	CP1g1525
ko00010	CP1g1525
ko00300	CP3g2630
ko00270	CP3g2630
ko00261	CP3g2630
ko00260	CP3g2630
ko00300	CP6g5789
ko00270	CP6g5789
ko00261	CP6g5789
ko00260	CP6g5789
ko00300	CP8g6509
ko00270	CP8g6509
ko00261	CP8g6509
ko00260	CP8g6509
ko00710	CP1g259
ko05132	CP1g259
ko05130	CP1g259
ko00010	CP1g259
ko04066	CP1g259
ko05010	CP1g259
ko05415	CP1g259
ko00710	CP1g237
ko05132	CP1g237
ko05130	CP1g237
ko00010	CP1g237
ko04066	CP1g237
ko05010	CP1g237
ko05415	CP1g237
ko00710	CP5g4996
ko05132	CP5g4996
ko05130	CP5g4996
ko00010	CP5g4996
ko04066	CP5g4996
ko05010	CP5g4996
ko05415	CP5g4996
ko00710	CP5g4995
ko05132	CP5g4995
ko05130	CP5g4995
ko00010	CP5g4995
ko04066	CP5g4995
ko05010	CP5g4995
ko05415	CP5g4995
ko00710	CP5g4963
ko05132	CP5g4963
ko05130	CP5g4963
ko00010	CP5g4963
ko04066	CP5g4963
ko05010	CP5g4963
ko05415	CP5g4963
ko00710	CP1g148
ko05132	CP1g148
ko05130	CP1g148
ko00010	CP1g148
ko04066	CP1g148
ko05010	CP1g148
ko05415	CP1g148
ko00710	CP1g1510
ko05132	CP1g1510
ko05130	CP1g1510
ko00010	CP1g1510
ko04066	CP1g1510
ko05010	CP1g1510
ko05415	CP1g1510
ko00710	CP1g380
ko05132	CP1g380
ko05130	CP1g380
ko00010	CP1g380
ko04066	CP1g380
ko05010	CP1g380
ko05415	CP1g380
ko00562	CP11g7986
ko00280	CP11g7986
ko00410	CP11g7986
ko00640	CP11g7986
ko00220	CP3g3361
ko05230	CP12g8877
ko00620	CP12g8877
ko05415	CP12g8877
ko04066	CP12g8877
ko00010	CP12g8877
ko04922	CP12g8877
ko00020	CP12g8877
ko05230	CP4g4524
ko00620	CP4g4524
ko05415	CP4g4524
ko04066	CP4g4524
ko00010	CP4g4524
ko04922	CP4g4524
ko00020	CP4g4524
ko00010	CP8g6476
ko04922	CP8g6476
ko00620	CP8g6476
ko00020	CP8g6476
ko05415	CP8g6476
ko04066	CP8g6476
ko05230	CP8g6476
ko00010	CP14g9537
ko04922	CP14g9537
ko00620	CP14g9537
ko00020	CP14g9537
ko05415	CP14g9537
ko04066	CP14g9537
ko05230	CP14g9537
ko00020	CP7g6988
ko00280	CP2g2389
ko00640	CP2g2389
ko00240	CP2g1655
ko00770	CP2g1655
ko00410	CP2g1655
ko00983	CP2g1655
ko00780	CP3g2836
ko00333	CP3g2836
ko00061	CP3g2836
ko00300	CP6g6023
ko00261	CP6g6023
ko00860	CP7g7037
ko00860	CP11g8047
ko00100	CP1g1187
ko00592	CP7g7159
ko00053	CP10g8373
ko00100	CP2g1611
ko00100	CP8g6583
ko00860	CP8g6318
ko00860	CP3g3304
ko00860	CP8g6321
ko00860	CP8g6320
ko00860	CP2g2184
ko00071	CP8g6555
ko01040	CP8g6555
ko04024	CP8g6555
ko03320	CP8g6555
ko00592	CP8g6555
ko00410	CP8g6555
ko00640	CP8g6555
ko04146	CP8g6555
ko00071	CP4g4167
ko01040	CP4g4167
ko04024	CP4g4167
ko03320	CP4g4167
ko00592	CP4g4167
ko00410	CP4g4167
ko00640	CP4g4167
ko04146	CP4g4167
ko00071	CP5g4861
ko01040	CP5g4861
ko04024	CP5g4861
ko03320	CP5g4861
ko00592	CP5g4861
ko00410	CP5g4861
ko00640	CP5g4861
ko04146	CP5g4861
ko00071	CP21g10197
ko01040	CP21g10197
ko04024	CP21g10197
ko03320	CP21g10197
ko00592	CP21g10197
ko00410	CP21g10197
ko00640	CP21g10197
ko04146	CP21g10197
ko00071	CP14g9524
ko01040	CP14g9524
ko04024	CP14g9524
ko03320	CP14g9524
ko00592	CP14g9524
ko00410	CP14g9524
ko00640	CP14g9524
ko04146	CP14g9524
ko00071	CP3g3274
ko01040	CP3g3274
ko04024	CP3g3274
ko03320	CP3g3274
ko00592	CP3g3274
ko00410	CP3g3274
ko00640	CP3g3274
ko04146	CP3g3274
ko00071	CP10g8399
ko01040	CP10g8399
ko04024	CP10g8399
ko03320	CP10g8399
ko00592	CP10g8399
ko00410	CP10g8399
ko00640	CP10g8399
ko04146	CP10g8399
ko00071	CP15g9854
ko01040	CP15g9854
ko04024	CP15g9854
ko03320	CP15g9854
ko00592	CP15g9854
ko00410	CP15g9854
ko00640	CP15g9854
ko04146	CP15g9854
ko05014	CP1g1299
ko00190	CP1g1299
ko04932	CP1g1299
ko05415	CP1g1299
ko00020	CP1g1299
ko05010	CP1g1299
ko05012	CP1g1299
ko05016	CP1g1299
ko05020	CP1g1299
ko05022	CP1g1299
ko04714	CP1g1299
ko04932	CP2g1798
ko05010	CP2g1798
ko00020	CP2g1798
ko00190	CP2g1798
ko04714	CP2g1798
ko05415	CP2g1798
ko05014	CP2g1798
ko05016	CP2g1798
ko05022	CP2g1798
ko05012	CP2g1798
ko05020	CP2g1798
ko05010	CP1g1530
ko05020	CP1g1530
ko04714	CP1g1530
ko05016	CP1g1530
ko05022	CP1g1530
ko05415	CP1g1530
ko00020	CP1g1530
ko05014	CP1g1530
ko04932	CP1g1530
ko00190	CP1g1530
ko05012	CP1g1530
ko05016	CP2g2291
ko00020	CP2g2291
ko05010	CP2g2291
ko05012	CP2g2291
ko05022	CP2g2291
ko04932	CP2g2291
ko00190	CP2g2291
ko04714	CP2g2291
ko05020	CP2g2291
ko05415	CP2g2291
ko05014	CP2g2291
ko00280	CP9g7266
ko03320	CP9g7266
ko00071	CP9g7266
ko00280	CP5g4760
ko00280	CP1g833
ko00280	CP5g4622
ko00240	CP2g2339
ko04217	CP8g6620
ko00471	CP8g6620
ko00910	CP8g6620
ko04964	CP8g6620
ko00250	CP8g6620
ko00220	CP8g6620
ko00220	CP4g4051
ko00910	CP4g4051
ko00250	CP4g4051
ko00220	CP12g8770
ko00910	CP12g8770
ko00250	CP12g8770
ko00220	CP1g707
ko00910	CP1g707
ko00250	CP1g707
ko00250	CP3g2757
ko00910	CP3g2757
ko00311	CP11g8167
ko00472	CP11g8167
ko00260	CP11g8167
ko04146	CP11g8167
ko00330	CP11g8167
ko00750	CP1g1076
ko00750	CP9g7701
ko00750	CP9g7347
ko00750	CP4g4460
ko00750	CP5g5095
ko00410	CP1g998
ko00350	CP1g998
ko00360	CP1g998
ko00960	CP1g998
ko00950	CP1g998
ko00260	CP1g998
ko00410	CP5g4573
ko00350	CP5g4573
ko00360	CP5g4573
ko00960	CP5g4573
ko00950	CP5g4573
ko00260	CP5g4573
ko00410	CP4g4208
ko00350	CP4g4208
ko00360	CP4g4208
ko00960	CP4g4208
ko00950	CP4g4208
ko00260	CP4g4208
ko00410	CP1g1497
ko00350	CP1g1497
ko00360	CP1g1497
ko00960	CP1g1497
ko00950	CP1g1497
ko00260	CP1g1497
ko00760	CP1g1025
ko00250	CP1g1025
ko00760	CP4g3662
ko00250	CP4g3662
ko00260	CP10g8508
ko00630	CP10g8508
ko00630	CP1g782
ko00910	CP1g782
ko00330	CP3g3091
ko00330	CP3g3123
ko00670	CP14g9465
ko00670	CP14g9466
ko00670	CP1g1151
ko00250	CP14g9617
ko00330	CP14g9617
ko00250	CP11g8223
ko00330	CP11g8223
ko00720	CP3g2788
ko01523	CP3g2788
ko00670	CP3g2788
ko00260	CP13g9120
ko04146	CP13g9120
ko00310	CP13g9120
ko00330	CP2g1757
ko00760	CP1g480
ko00760	CP1g479
ko00520	CP1g1249
ko00520	CP2g2309
ko00520	CP14g9680
ko00520	CP6g5700
ko00520	CP6g5634
ko00232	CP3g3017
ko00230	CP3g3017
ko00910	CP1g528
ko00910	CP14g9663
ko00920	CP7g6758
ko00920	CP7g6756
ko00920	CP3g2722
ko00310	CP14g9542
ko00620	CP14g9542
ko00260	CP14g9542
ko00020	CP14g9542
ko00380	CP14g9542
ko00640	CP14g9542
ko00010	CP14g9542
ko00630	CP14g9542
ko00280	CP14g9542
ko00310	CP9g7627
ko00620	CP9g7627
ko00260	CP9g7627
ko00020	CP9g7627
ko00380	CP9g7627
ko00640	CP9g7627
ko00010	CP9g7627
ko00630	CP9g7627
ko00280	CP9g7627
ko04918	CP5g4733
ko05415	CP5g4733
ko00480	CP5g4733
ko04918	CP2g2247
ko05415	CP2g2247
ko00480	CP2g2247
ko00450	CP2g2489
ko00450	CP1g114
ko00450	CP2g2490
ko00450	CP1g221
ko00450	CP15g9915
ko00920	CP7g6990
ko00920	CP1g553
ko05022	CP3g3239
ko02020	CP3g3239
ko04714	CP3g3239
ko05010	CP3g3239
ko05016	CP3g3239
ko05012	CP3g3239
ko05415	CP3g3239
ko00190	CP3g3239
ko04932	CP3g3239
ko05014	CP3g3239
ko04260	CP3g3239
ko05020	CP3g3239
ko00190	CP6g6063
ko05022	CP6g6063
ko04714	CP6g6063
ko05415	CP6g6063
ko04260	CP6g6063
ko04932	CP6g6063
ko05010	CP6g6063
ko02020	CP6g6063
ko05020	CP6g6063
ko05016	CP6g6063
ko05014	CP6g6063
ko05012	CP6g6063
ko05020	CP2g2386
ko04932	CP2g2386
ko05415	CP2g2386
ko05022	CP2g2386
ko05010	CP2g2386
ko05014	CP2g2386
ko05012	CP2g2386
ko04714	CP2g2386
ko04260	CP2g2386
ko05016	CP2g2386
ko00190	CP2g2386
ko05016	CP5g5055
ko05014	CP5g5055
ko05010	CP5g5055
ko00190	CP5g5055
ko04714	CP5g5055
ko05012	CP5g5055
ko05020	CP5g5055
ko04932	CP5g5055
ko05415	CP5g5055
ko04260	CP5g5055
ko05022	CP5g5055
ko05016	CP1g271
ko05014	CP1g271
ko05010	CP1g271
ko00190	CP1g271
ko04714	CP1g271
ko05012	CP1g271
ko05020	CP1g271
ko04932	CP1g271
ko05415	CP1g271
ko04260	CP1g271
ko05022	CP1g271
ko00053	CP6g5698
ko00940	CP7g6959
ko00940	CP16g10000
ko00940	CP7g6825
ko00940	CP12g8750
ko00940	CP3g2742
ko00590	CP12g8697
ko05014	CP12g8697
ko05016	CP12g8697
ko00480	CP12g8697
ko04918	CP12g8697
ko05022	CP12g8697
ko00590	CP12g8696
ko05014	CP12g8696
ko05016	CP12g8696
ko00480	CP12g8696
ko04918	CP12g8696
ko05022	CP12g8696
ko00590	CP2g1989
ko05014	CP2g1989
ko05016	CP2g1989
ko00480	CP2g1989
ko04918	CP2g1989
ko05022	CP2g1989
ko00590	CP3g2818
ko05014	CP3g2818
ko05016	CP3g2818
ko00480	CP3g2818
ko04918	CP3g2818
ko05022	CP3g2818
ko00590	CP12g8699
ko05014	CP12g8699
ko05016	CP12g8699
ko00480	CP12g8699
ko04918	CP12g8699
ko05022	CP12g8699
ko00590	CP3g2791
ko05014	CP3g2791
ko05016	CP3g2791
ko00480	CP3g2791
ko04918	CP3g2791
ko05022	CP3g2791
ko00590	CP8g6553
ko05014	CP8g6553
ko05016	CP8g6553
ko00480	CP8g6553
ko04918	CP8g6553
ko05022	CP8g6553
ko00480	CP1g160
ko00053	CP1g160
ko00480	CP1g885
ko00053	CP1g885
ko00480	CP5g5228
ko00053	CP5g5228
ko00480	CP9g7732
ko00053	CP9g7732
ko00350	CP4g3730
ko00643	CP4g3730
ko00270	CP1g395
ko00430	CP1g395
ko00360	CP4g3595
ko00130	CP4g3595
ko00350	CP4g3595
ko00360	CP4g3600
ko00130	CP4g3600
ko00350	CP4g3600
ko00562	CP4g4403
ko00053	CP4g4403
ko00330	CP1g824
ko00330	CP1g1409
ko00330	CP1g203
ko00330	CP2g1953
ko00330	CP2g2201
ko00330	CP4g4495
ko00330	CP9g7571
ko00330	CP4g3678
ko00330	CP4g4186
ko00330	CP4g4185
ko00330	CP2g1712
ko04020	CP10g8431
ko04260	CP10g8431
ko04146	CP15g9920
ko04146	CP3g3022
ko04146	CP11g7999
ko00380	CP1g499
ko00260	CP10g8379
ko00260	CP10g8380
ko00380	CP4g4088
ko04361	CP4g4088
ko04726	CP4g4088
ko00790	CP4g4088
ko01040	CP7g6999
ko04152	CP7g6999
ko04212	CP7g6999
ko03320	CP7g6999
ko01040	CP3g3031
ko04152	CP3g3031
ko04212	CP3g3031
ko03320	CP3g3031
