FID	CN1	CN2	CN3	CS1	CS2	CS3	DW1	DW2	DW3
100-1	0.64 	0.70 	0.67 	4.3 	4.3 	4.2 	0.93 	0.93 	0.81 
100-2	0.67 	0.68 	0.68 	4.0 	4.1 	3.9 	0.49 	0.52 	0.40 
100-3	1.23 	1.28 	1.26 	4.3 	4.4 	4.1 	0.78 	0.82 	0.78 
100-4	0.50 	0.57 	0.54 	4.4 	4.6 	4.2 	0.67 	0.74 	0.56 
109-1	0.94 	1.04 	0.99 	4.1 	4.3 	3.9 	0.43 	0.52 	0.42 
109-2	0.63 	0.67 	0.65 	5.3 	5.5 	5.1 	0.69 	0.80 	0.63 
109-3	0.72 	0.76 	0.74 	4.7 	4.9 	4.6 	0.53 	0.62 	0.53 
111-1	0.64 	0.67 	0.66 	4.9 	5.1 	4.8 	0.47 	0.55 	0.38 
111-2	0.72 	0.79 	0.76 	4.7 	4.8 	4.6 	0.64 	0.77 	0.60 
114-1	0.70 	0.77 	0.74 	4.9 	5.0 	4.8 	0.48 	0.55 	0.40 
115-1	0.72 	0.76 	0.74 	4.3 	4.4 	4.1 	0.57 	0.57 	0.51 
116-1	0.99 	1.01 	1.00 	4.3 	4.5 	4.1 	0.53 	0.65 	0.46 
116-2	0.64 	0.71 	0.67 	5.2 	5.2 	5.2 	0.63 	0.76 	0.61 
119-1	0.47 	0.54 	0.50 	4.8 	4.9 	4.7 	0.35 	0.36 	0.33 
119-1-2	0.78 	0.79 	0.78 	4.9 	4.9 	4.9 	0.61 	0.74 	0.49 
121-1	0.86 	0.90 	0.88 	3.8 	3.9 	3.8 	0.75 	0.86 	0.70 
121-2	0.36 	0.40 	0.38 	5.2 	5.4 	5.0 	0.73 	0.79 	0.62 
121-3	0.59 	0.60 	0.60 	5.5 	5.6 	5.4 	0.34 	0.40 	0.28 
121-4	0.29 	0.33 	0.31 	4.1 	4.2 	4.1 	0.69 	0.75 	0.66 
121-5	0.83 	0.86 	0.84 	4.0 	4.0 	3.9 	0.72 	0.85 	0.68 
121-6	0.19 	0.21 	0.20 	4.4 	4.4 	4.4 	0.38 	0.45 	0.27 
122-1	0.69 	0.70 	0.69 	4.3 	4.3 	4.2 	0.80 	0.89 	0.68 
122-2	0.15 	0.17 	0.16 	4.7 	4.7 	4.7 	0.50 	0.52 	0.42 
123-1	0.66 	0.73 	0.69 	4.0 	4.2 	3.9 	0.61 	0.66 	0.52 
123-2	0.68 	0.69 	0.69 	3.9 	4.0 	3.8 	0.75 	0.78 	0.73 
123-3	1.24 	1.30 	1.27 	4.2 	4.3 	4.0 	1.10 	1.17 	1.05 
123-4	0.60 	0.66 	0.63 	4.1 	4.3 	3.9 	0.68 	0.73 	0.67 
124-1	0.43 	0.52 	0.48 	5.5 	5.7 	5.3 	0.71 	0.72 	0.69 
124-2	0.74 	0.79 	0.76 	4.6 	4.8 	4.4 	0.86 	0.89 	0.80 
125-1	0.51 	0.52 	0.51 	4.6 	4.6 	4.6 	0.70 	0.74 	0.59 
126-1	1.07 	1.11 	1.09 	4.4 	4.6 	4.3 	0.90 	0.95 	0.80 
126-2	0.24 	0.29 	0.26 	5.1 	5.3 	4.9 	0.61 	0.61 	0.59 
126-3	1.14 	1.15 	1.15 	4.5 	4.6 	4.4 	0.65 	0.71 	0.61 
126-4	0.75 	0.79 	0.77 	4.1 	4.1 	4.1 	0.74 	0.80 	0.74 
126-5	0.38 	0.41 	0.39 	4.3 	4.5 	4.1 	0.75 	0.83 	0.72 
126-6	0.66 	0.72 	0.69 	5.4 	5.6 	5.2 	0.87 	0.87 	0.86 
126-7	0.21 	0.22 	0.21 	5.4 	5.6 	5.2 	0.72 	0.75 	0.62 
126-8	0.49 	0.53 	0.51 	4.8 	4.9 	4.7 	0.76 	0.88 	0.72 
127-1	0.61 	0.68 	0.64 	4.1 	4.1 	4.0 	0.67 	0.69 	0.67 
127-2	0.95 	1.04 	1.00 	4.1 	4.2 	4.0 	0.50 	0.62 	0.42 
128-1	0.58 	0.62 	0.60 	4.5 	4.6 	4.4 	0.78 	0.88 	0.68 
128-2	0.04 	0.13 	0.09 	5.8 	5.9 	5.7 	0.59 	0.72 	0.47 
129-1	0.68 	0.76 	0.72 	4.6 	4.6 	4.5 	0.92 	0.96 	0.83 
129-2	0.34 	0.37 	0.35 	4.8 	5.0 	4.6 	0.49 	0.54 	0.40 
