Orthogroup	MC3	MC24	MH3	MH24
OG0006294	1390.232	1087.175	1114.685	560.5646
OG0007006	276.6892	357.7556	403.162	375.6467
OG0008996	2.246406	9.117753	6.884545	0.9682037
OG0009466	150.0914	116.3183	883.7037	87.74043
OG0009467	1206.557	677.6575	178.0575	123.2041
OG0011211	65.03667	41.72298	282.7498	211.8333
OG0011460	9.882561	23.12016	6.610591	9.078671
OG0012359	11.24212	10.73968	104.3651	20.93696
OG0012457	1.903544	11.09659	2.428935	1.919822
OG0013183	2.09744	2.611143	14.18541	4.339846
OG0013405	71.20763	60.49786	36.92517	76.00489
OG0013966	1.111513	0.4174927	3.244265	0.7219933
OG0014898	53.26274	33.48727	116.1624	124.4475
OG0014909	0.1260613	0.2274547	0.1543933	0.203583
OG0015010	10.39539	6.666122	3.97554	9.674829
OG0015351	332.376	416.8722	253.7103	133.7355
OG0015352	82.04143	64.5203	49.67498	11.29504
OG0015353	94.50323	88.41438	148.1183	15.94316
OG0015354	424.4003	269.6525	211.3598	131.4478
OG0015908	46.954	43.47292	40.5248	92.22131
OG0017305	225.2902	143.4156	95.40917	21.86691
OG0017821	181.0218	127.857	195.0344	84.46086
OG0017822	155.876	236.6132	76.64092	76.40522
OG0020440	5.673093	9.994896	2.931851	7.430675
OG0020443	2.000374	4.455792	1.810784	0.5459747
OG0020445	5.923748	1.955846	1.751857	0.7243627
OG0020450	54.41843	29.74413	89.19937	16.51338
OG0020509	0.7878937	1.232034	0.68817	0.62896
OG0021383	193.9243	240.1835	105.6235	205.4741
OG0021384	23.09801	24.34292	41.70275	42.18514
OG0021385	47.40992	39.61709	21.58035	18.77125
OG0021386	68.61772	101.7241	63.46693	122.7158
OG0021387	357.0319	275.5829	719.6103	320.174
OG0021388	70.80918	232.2298	202.1581	37.19245
OG0021389	98.45368	46.80413	63.38533	6.965343
OG0021390	994.7371	722.5552	238.5677	28.37368
OG0021391	53.1427	59.0035	136.0972	121.5055
OG0021392	179.7024	80.65039	88.70122	32.90662
OG0021753	6.384602	4.094601	5.171006	1.207648
OG0025393	0.2397533	1.008078	0.5004307	0.05932267
OG0025407	23.18852	101.233	122.2292	175.4046
OG0026810	52.89438	42.98122	92.83766	39.28079
OG0026811	38.11253	25.97	61.01024	59.277
OG0026812	138.3366	521.3277	406.5133	528.2802
OG0026813	102.837	216.7936	39.05107	49.41273
OG0026814	79.58437	76.27385	52.07638	83.47871
OG0026815	499.8104	755.8134	144.8617	174.7447
OG0026816	1.500299	1.587277	3.177707	2.208441
OG0026817	31.71549	23.90794	63.39183	19.75745
OG0026818	34.74287	20.75232	15.28418	5.065862
OG0026819	297.5463	272.601	1478.4	454.007
OG0026820	12.40145	7.952247	10.07627	8.762461
OG0026821	2.950828	1.443524	2.701001	3.060497
OG0028273	3.366504	2.97234	2.44319	4.973061
OG0028492	0.128452	0.08053367	0.2497287	0.6534827
OG0031125	2.961292	1.53727	1.264842	0.3971103
OG0033165	22.20347	27.60356	2.62141	14.66351
OG0033168	7.747441	6.484589	6.449227	1.270185
OG0033170	102.513	58.01157	46.50703	32.61936
OG0035103	18.51742	28.02807	4.742075	10.19446
OG0036872	6.67807	6.144576	10.27785	7.613637
OG0038379	2.353496	4.498617	4.332965	7.778255
OG0038380	339.1894	337.7291	318.4214	239.0683
OG0038381	1.192068	0.953997	0.1794923	0.4718687
OG0038382	43.58421	19.5813	15.89266	6.59249
OG0038383	24.23573	17.45834	26.02866	6.367474
OG0038384	1.18505	2.490957	0.9994753	3.027732
OG0038385	211.3506	273.8706	43.20744	38.33169
OG0038386	38.66592	32.38441	719.55	1357.716
OG0038387	109.9118	90.52035	94.53312	44.44936
OG0038388	47.80136	27.9643	14.72818	8.070905
OG0038389	42.17547	27.38392	15.882	7.176958
OG0038390	32.12873	44.90656	21.87566	48.96553
OG0038391	9.740189	7.256541	30.84488	3.055856
OG0038392	12.49249	33.56121	26.71934	22.86255
OG0038393	2.57723	3.349304	3.400833	1.957419
OG0038394	1.719286	1.960446	1.914621	0.729883
OG0038395	25.67488	90.2376	13.08029	16.57624
OG0038396	156.3538	115.4431	36.68783	26.45032
OG0038397	19.77957	11.53116	6.309743	11.53325
OG0038398	33.4554	46.56362	33.37788	19.01312
OG0038399	37.33739	30.48293	14.35812	9.853552
OG0038400	0.2843583	1.736022	0.7842507	0.2010267
OG0038401	11.59721	9.898833	9.988555	11.31823
OG0038402	49.05688	44.62265	61.24258	81.60517
OG0038403	3.172859	30.68221	127.1871	51.03804
OG0038404	0.5379233	0.8788393	1.255616	1.001228
OG0038405	18.13209	15.32241	14.87141	8.250236
OG0038406	0.9011033	2.085031	0.617476	2.589918
