Chr	Start	End	CE_start	CE_end
chr01	0	7476621	4332486	4813520
chr02	0	5268805	2532882	2894923
chr03	0	5138350	742916	956073
chr04	0	4665194	1822173	2037860
chr05	0	4303545	1589196	1786936
chr06	0	3764495	1947435	2235516
chr08	0	2966669	1922524	2075031
chr07	0	2948755	1431264	1605820
chr09	0	2916215	1916055	2055768
chr11	0	2533076	2029967	2144031
chr10	0	2511424	1808490	2005929
chr12	0	2179511	838666	992437
chr13	0	2081016	1232658	1373331
chr14	0	1736457	890782	985633
chr15	0	1311673	0	0
chr16	0	1146179	590386	745456
sca17	0	128373	0	0
sca18	0	128272	0	0
sca19	0	108214	0	0
sca21	0	89211	0	0
sca22	0	76166	0	0
sca23	0	27916	0	0
