Type	Shape	Chr	Start	End	color
tRNA	circle	chr01	570640	570712	6a3d9a
tRNA	circle	chr01	2635346	2635419	6a3d9a
tRNA	circle	chr01	3871854	3871926	6a3d9a
tRNA	circle	chr01	3906712	3906783	6a3d9a
tRNA	circle	chr01	4560909	4560981	6a3d9a
tRNA	circle	chr01	4530381	4530310	6a3d9a
tRNA	circle	chr01	4370939	4370824	6a3d9a
tRNA	circle	chr01	4332319	4332248	6a3d9a
tRNA	circle	chr01	3912872	3912800	6a3d9a
tRNA	circle	chr01	2930705	2930633	6a3d9a
tRNA	circle	chr01	829424	829353	6a3d9a
tRNA	circle	chr01	572857	572785	6a3d9a
tRNA	circle	chr01	488857	488785	6a3d9a
tRNA	circle	chr02	361461	361534	6a3d9a
tRNA	circle	chr02	2883256	2883328	6a3d9a
tRNA	circle	chr02	3570662	3570780	6a3d9a
tRNA	circle	chr02	4483607	4483680	6a3d9a
tRNA	circle	chr02	4914563	4914636	6a3d9a
tRNA	circle	chr02	4341409	4341336	6a3d9a
tRNA	circle	chr02	3898406	3898333	6a3d9a
tRNA	circle	chr02	3824232	3824160	6a3d9a
tRNA	circle	chr02	3682246	3682167	6a3d9a
tRNA	circle	chr02	3315313	3315242	6a3d9a
tRNA	circle	chr02	1341250	1341177	6a3d9a
tRNA	circle	chr02	451766	451683	6a3d9a
tRNA	circle	chr02	445183	445111	6a3d9a
tRNA	circle	chr02	267764	267693	6a3d9a
tRNA	circle	chr02	213726	213639	6a3d9a
tRNA	circle	chr03	643759	643832	6a3d9a
tRNA	circle	chr03	746428	746530	6a3d9a
tRNA	circle	chr03	1236035	1236106	6a3d9a
tRNA	circle	chr03	1262702	1262773	6a3d9a
tRNA	circle	chr03	1295064	1295135	6a3d9a
tRNA	circle	chr03	1538004	1538077	6a3d9a
tRNA	circle	chr03	2279559	2279639	6a3d9a
tRNA	circle	chr03	2362728	2362808	6a3d9a
tRNA	circle	chr03	2429325	2429398	6a3d9a
tRNA	circle	chr03	2900507	2900435	6a3d9a
tRNA	circle	chr03	2066055	2065983	6a3d9a
tRNA	circle	chr03	493764	493669	6a3d9a
tRNA	circle	chr04	4322620	4322519	6a3d9a
tRNA	circle	chr04	3913977	3913905	6a3d9a
tRNA	circle	chr04	681352	681281	6a3d9a
tRNA	circle	chr04	15937	15866	6a3d9a
tRNA	circle	chr05	1788402	1788484	6a3d9a
tRNA	circle	chr05	2310077	2310149	6a3d9a
tRNA	circle	chr05	2801310	2801237	6a3d9a
tRNA	circle	chr06	987797	987867	6a3d9a
tRNA	circle	chr06	1022286	1022357	6a3d9a
tRNA	circle	chr06	1436857	1436937	6a3d9a
tRNA	circle	chr06	2808923	2808994	6a3d9a
tRNA	circle	chr06	2909149	2909249	6a3d9a
tRNA	circle	chr06	3180936	3181033	6a3d9a
tRNA	circle	chr06	2374549	2374476	6a3d9a
tRNA	circle	chr06	1445080	1444982	6a3d9a
tRNA	circle	chr06	1187721	1187648	6a3d9a
tRNA	circle	chr08	1691490	1691574	6a3d9a
tRNA	circle	chr08	1912453	1912525	6a3d9a
tRNA	circle	chr08	2320870	2320799	6a3d9a
tRNA	circle	chr08	1784665	1784593	6a3d9a
tRNA	circle	chr08	1248097	1247990	6a3d9a
tRNA	circle	chr07	899560	899649	6a3d9a
tRNA	circle	chr07	899817	899906	6a3d9a
tRNA	circle	chr07	2166690	2166762	6a3d9a
tRNA	circle	chr07	2726382	2726454	6a3d9a
tRNA	circle	chr07	2844419	2844490	6a3d9a
tRNA	circle	chr07	2852546	2852617	6a3d9a
tRNA	circle	chr07	2862774	2862702	6a3d9a
tRNA	circle	chr07	2782068	2781997	6a3d9a
tRNA	circle	chr07	1730944	1730840	6a3d9a
tRNA	circle	chr07	1594536	1594463	6a3d9a
tRNA	circle	chr07	1504552	1504442	6a3d9a
tRNA	circle	chr07	952017	951899	6a3d9a
tRNA	circle	chr09	336161	336233	6a3d9a
tRNA	circle	chr09	427281	427352	6a3d9a
tRNA	circle	chr09	796967	797038	6a3d9a
tRNA	circle	chr09	289282	289211	6a3d9a
tRNA	circle	chr09	242388	242307	6a3d9a
tRNA	circle	chr11	514392	514463	6a3d9a
tRNA	circle	chr11	633131	633059	6a3d9a
tRNA	circle	chr10	571610	571683	6a3d9a
tRNA	circle	chr10	1799252	1799360	6a3d9a
tRNA	circle	chr10	1310832	1310759	6a3d9a
tRNA	circle	chr12	2042437	2042366	6a3d9a
tRNA	circle	chr12	1972087	1972015	6a3d9a
tRNA	circle	chr12	1905647	1905568	6a3d9a
tRNA	circle	chr12	493367	493295	6a3d9a
tRNA	circle	chr12	487975	487903	6a3d9a
tRNA	circle	chr13	1655916	1655822	6a3d9a
tRNA	circle	chr13	1398612	1398541	6a3d9a
tRNA	circle	chr14	1628031	1627958	6a3d9a
tRNA	circle	chr15	276141	276220	6a3d9a
tRNA	circle	chr15	258955	258875	6a3d9a
