"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"ko03010"	"Ribosome"	"111/858"	"147/3833"	1.76640562316655e-44	6.21774779354624e-42	5.80124794134697e-42	"CP11g8045/CP11g8069/CP9g7680/CP9g7673/CP1g674/CP7g6854/CP12g8713/CP5g5220/CP1g1133/CP2g1557/CP3g3369/CP15g9897/CP5g4803/CP6g5847/CP6g5846/CP2g2495/CP1g768/CP9g7667/CP10g8627/CP16g10094/CP3g2885/CP5g5115/CP5g4706/CP10g8537/CP1g719/CP3g2803/CP14g9621/CP10g8598/CP5g5052/CP10g8590/CP1g737/CP10g8628/CP1g661/CP6g5897/CP3g2789/CP16g10118/CP2g2413/CP4g3784/CP15g9881/CP8g6627/CP12g8780/CP15g9967/CP2g1572/CP4g4389/CP7g6714/CP12g8756/CP11g7938/CP9g7638/CP10g8381/CP1g182/CP5g4826/CP14g9580/CP1g1366/CP1g896/CP3g2665/CP7g6724/CP6g6106/CP7g6723/CP12g8717/CP7g6679/CP11g7901/CP5g5254/CP11g7777/CP8g6283/CP6g5434/CP7g6918/CP14g9589/CP8g6241/CP3g2920/CP1g1103/CP2g2306/CP5g4677/CP11g7759/CP3g2635/CP11g8043/CP15g9880/CP3g3125/CP16g10115/CP3g3217/CP15g9964/CP1g474/CP10g8479/CP1g1311/CP5g5344/CP4g3947/CP13g9234/CP9g7674/CP1g978/CP9g7249/CP2g2509/CP5g5152/CP9g7527/CP6g5714/CP10g8668/CP12g8833/CP2g1722/CP2g2541/CP7g6847/CP4g4372/CP7g7223/CP3g3391/CP3g3313/CP2g2089/CP6g5985/CP6g5682/CP7g6677/CP8g6577/CP1g976/CP2g2150/CP5g5339/CP3g2713"	111
"ko05171"	NA	"82/858"	"106/3833"	3.44643134297928e-34	6.06571916364354e-32	5.65940304741861e-32	"CP11g8045/CP11g8069/CP9g7680/CP9g7673/CP1g674/CP7g6854/CP12g8713/CP5g5220/CP1g1133/CP2g2196/CP2g1557/CP3g3369/CP15g9897/CP5g4803/CP6g5847/CP6g5846/CP2g2495/CP1g768/CP9g7667/CP10g8627/CP16g10094/CP3g2885/CP5g5115/CP5g4706/CP10g8537/CP1g719/CP3g2803/CP14g9621/CP10g8598/CP5g5052/CP10g8590/CP1g737/CP10g8628/CP1g661/CP6g5897/CP3g2789/CP16g10118/CP2g2413/CP4g3784/CP8g6627/CP12g8780/CP15g9967/CP2g1572/CP7g6714/CP12g8756/CP11g7938/CP9g7638/CP10g8381/CP1g182/CP5g4826/CP14g9580/CP1g1366/CP1g896/CP3g2665/CP7g6724/CP6g6106/CP7g6723/CP12g8717/CP7g6679/CP11g7901/CP5g5254/CP8g6283/CP7g6918/CP14g9589/CP3g2920/CP2g2306/CP11g7759/CP3g2635/CP15g9880/CP1g474/CP1g1311/CP4g3947/CP9g7674/CP9g7249/CP5g5152/CP9g7527/CP10g8668/CP12g8833/CP4g4372/CP6g5682/CP3g2916/CP3g2713"	82
"ko00190"	"Oxidative phosphorylation"	"42/858"	"71/3833"	1.62595262878056e-11	1.90778441776919e-09	1.77999024624398e-09	"CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2962/CP2g1763/CP6g6064/CP7g6993/CP14g9590/CP5g4722/CP2g1543/CP4g4150/CP1g1296/CP14g9429/CP10g8434/CP10g8506/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP14g9388/CP3g2973/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP2g2291/CP5g5064/CP2g2213/CP1g271/CP2g1756/CP1g1530/CP8g6196/CP7g6694/CP13g9014/CP6g5754/CP14g9653/CP8g6154/CP8g6363/CP5g4745/CP2g2386/CP12g8792"	42
"ko00195"	"Photosynthesis"	"29/858"	"49/3833"	2.42781914446165e-08	2.13648084712625e-06	1.99336729755799e-06	"CP2g1763/CP2g2068/CP1g816/CP4g3985/CP10g8434/CP5g5018/CP9g7268/CP2g2381/CP1g1159/CP6g5755/CP2g2213/CP9g7271/CP4g4465/CP4g3615/CP2g1683/CP5g4553/CP1g909/CP10g8423/CP8g6430/CP10g8277/CP1g1139/CP3g3050/CP15g9783/CP1g1319/CP9g7621/CP4g4184/CP3g3449/CP6g5689/CP5g4969"	29
"ko04932"	NA	"30/858"	"57/3833"	5.01916934065958e-07	3.53349521582434e-05	3.29680175639113e-05	"CP1g1318/CP2g1876/CP4g4392/CP1g819/CP1g698/CP6g6064/CP7g6993/CP7g7212/CP13g8998/CP14g9590/CP5g4722/CP2g1806/CP14g9429/CP6g5851/CP9g7545/CP1g442/CP3g3239/CP5g4620/CP7g7126/CP2g1838/CP2g1798/CP2g2291/CP1g271/CP1g1530/CP8g6196/CP7g6694/CP13g9014/CP14g9653/CP8g6363/CP2g2386"	30
"ko05012"	NA	"56/858"	"139/3833"	1.04347093974724e-06	6.12169617985046e-05	5.71163040703751e-05	"CP1g1318/CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2653/CP3g2962/CP6g6064/CP3g2885/CP1g719/CP7g6993/CP1g207/CP7g6795/CP14g9590/CP2g2387/CP6g6147/CP5g4722/CP1g1296/CP14g9429/CP10g8506/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP4g4525/CP6g6142/CP2g2282/CP4g3864/CP2g2291/CP1g271/CP10g8367/CP1g1530/CP8g6196/CP3g3066/CP6g5613/CP7g6694/CP13g9014/CP10g8361/CP4g4118/CP2g1837/CP10g8438/CP15g9963/CP14g9653/CP4g4129/CP8g6363/CP12g8691/CP3g2643/CP5g5147/CP2g2386/CP4g4065/CP6g5912/CP7g6895"	56
"ko05020"	NA	"51/858"	"132/3833"	1.32756475516853e-05	0.00066757541974189	0.000622857449041476	"CP1g1318/CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2962/CP6g6064/CP10g8501/CP7g6993/CP10g8411/CP7g7212/CP1g207/CP7g6795/CP14g9590/CP2g2387/CP11g7808/CP5g4722/CP1g1296/CP14g9429/CP10g8506/CP6g5851/CP8g6286/CP2g1801/CP13g9299/CP1g442/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP2g2282/CP4g3864/CP2g2291/CP1g271/CP1g1530/CP8g6196/CP6g5613/CP7g6694/CP9g7626/CP13g9014/CP4g4118/CP2g1837/CP14g9653/CP4g4129/CP8g6363/CP9g7576/CP5g5147/CP14g9339/CP2g1784/CP2g2386/CP4g4065/CP6g5912"	51
"ko00710"	"Carbon fixation in photosynthetic organisms"	"26/858"	"55/3833"	3.57959294726615e-05	0.00157502089679711	0.00146951710466716	"CP11g7978/CP5g5070/CP1g682/CP6g5890/CP3g2761/CP9g7739/CP14g9476/CP3g2830/CP3g2773/CP5g4996/CP2g2103/CP12g8782/CP5g4944/CP4g3599/CP4g3907/CP6g5607/CP1g1189/CP13g9017/CP10g8494/CP1g1152/CP2g2496/CP10g8482/CP1g646/CP14g9675/CP4g3959/CP4g3611"	26
"ko05415"	NA	"41/858"	"105/3833"	7.08906652784959e-05	0.00277261268644784	0.00258688743472406	"CP2g1876/CP4g4392/CP1g819/CP1g698/CP3g2962/CP6g6064/CP7g6993/CP7g7212/CP5g4661/CP7g6795/CP14g9590/CP5g4722/CP12g8877/CP1g1296/CP14g9537/CP14g9429/CP9g7683/CP10g8506/CP6g5851/CP8g6286/CP13g9299/CP1g442/CP3g3239/CP5g4620/CP2g1838/CP2g1798/CP14g9591/CP5g4996/CP2g2291/CP1g271/CP4g4524/CP1g1530/CP8g6196/CP7g6694/CP13g9014/CP10g8566/CP14g9653/CP8g6363/CP4g3786/CP2g2386/CP6g5912"	41
"ko00196"	"Photosynthesis - antenna proteins"	"12/858"	"19/3833"	0.000152690125018169	0.00537469240063953	0.00501466515849143	"CP14g9681/CP4g3650/CP1g1405/CP9g7232/CP12g8969/CP5g4977/CP5g4731/CP1g1331/CP1g1404/CP5g4976/CP10g8481/CP4g3649"	12
